name	component	tier	agent_liveness	purpose	evidence
BenchValue	draft	seasonal	live	Measures what this league's real rounds 8-16 picks returned over the waiver wire, floored at zero, by band/position; supplies bench base rates to the draft-night tools.	Called in code by DraftNight.java:50 ('BenchValue.overWireByPosition(configuration)') and :130, Draft2026.java:64, StarterRisk.java:123, StashValue.java:43 ('BenchValue.gather(configuration)'); DraftNight/Draft2026 are the RUNBOOK 'During the draft' tools. MODEL.md:5305-5409, DRAFT-READY.md:258.
BoardSanity	draft	diagnostic	diagnostic	Pre-draft stale-data check: flags players whose projection and ADP disagree violently.	README.md:19 and DRAFT-READY.md:69 give the run command; DIAGNOSTIC.md:313 quotes '161 men rank-checked, nothing violently inconsistent'. Not in RUNBOOK's 'Before the draft' list (AdpSnapshot, smokeTest, KeeperAudit, DraftNight only); no callers.
BoardValue	draft	seasonal	live	The board model: marginal lineup points from empirical rank curves joined with survival, roster state and the MOST position caps; its main is the one-season backtest and it is the library LiveBoard/TeamRankings/TradeMarket/LeagueConsole run on.	LiveBoard.java:398 ('BoardValue.MOST.getOrDefault(position, 99)') and :415 ('BoardValue.empirical(held, pools, curve, order.size(), true)'); imported by LeagueConsole, TradeMarket, TeamRankings, TuesdaySwap-adjacent RosterRules; MODEL.md:7 'board model (LiveBoard/BoardValue.oneSeason)'; DRAFT-READY.md:169,186,504.
CycleTiming	draft	diagnostic	diagnostic	Times one Draft2026 cycle with output swallowed on the fixed first-six-picks 2026 board.	RUNBOOK.md:198 'each pick after that costs about 27s ... measured by CycleTiming on the first six picks'; DRAFT-READY.md:590; TRAPS.md:363; DIAGNOSTIC.md:476. Named in OneWarmUpTest LIVE_PATH list; not a run-me command in RUNBOOK.
Draft2026	draft	seasonal	live	The one draft-night screen: warms both engines once and prints Model A plus the board model side by side for rounds 1-7, the board model alone for 8-16.	RUNBOOK.md:217 "The live tool is `./gradlew run -Pmain=Draft2026 -Pkeepers=Tuten,Purdy -q`"; RUNBOOK.md:229; README.md:38 names it as the replacement for SleeperLiveDraft. Draft-night section is marked done (RUNBOOK.md:160).
DraftNight	draft	seasonal	live	Draft-night console that warms the engine once and re-answers on enter: uncached live board, committee vote, wait-or-take table; rounds 8-9 print measured base rates.	RUNBOOK.md:177 "./gradlew run -Pmain=DraftNight # warms the engine, then holds it open"; RUNBOOK.md:191,220. Draft2026.java:163 "It calls DraftNight.answer". Tests: LateRoundToolTest, PickTradeTest, ScheduleDriftTest, CycleSurvivesAFailureTest.
DraftPlanner	draft	seasonal	live	Model A: expectimax over positions at each of my picks with DraftSimulator rollouts, best-legal-nine objective, rounds 1-7 only.	RUNBOOK.md:222 "(`DraftPlanner` alone is Model A's nine-round planner, not a live tool" — but it is the engine Draft2026/DraftNight call (Draft2026.java, DraftNight.java import it; javadoc DraftPlanner.java:265 "DraftNight:131 says the same thing at the table"). README.md:32-33 lists it. Tests: DraftPlannerTest, DraftPlannerSmokeTest, ModelAScheduleTest.
DraftSimulator	draft	seasonal	live	Full drafts sampled from the fitted selection model through the league's real serpentine order with keeper slots skipped; the rollout engine under every planner.	Called by Draft2026, DraftNight, DraftPlanner, LiveBoard, LiveCommittee, LiveLateRounds (grep src/main/java). Doc references DIAGNOSTIC.md:330 "(`DraftSimulator.floors()`", TRAPS.md:118,384. Tests: DraftSimulatorTest, DraftSimulatorSmokeTest, RosterNeedTest, SoftFloorTest.
HumanStrategy	draft	archive	stray	Fixed position-order drafting strategy for the old SimulationDraft; main() calls nonPermutedPositions(1,3,5,1) and prints nothing.	No reference in any root doc. Code callers are KeeperChooser.java:271/281 (nonPermutedPositions), SimulationDraft.java and SleeperLiveDraft.java - README.md:38 marks SleeperLiveDraft 'superseded by Draft2026', and KeeperChooser is off the live path (its eligibleCandidates replaced by NextYearKeepers.forThisLeague per TRAPS.md:1394 / LeagueConsole.java:506). main() has no output at all.
LateRoundValue	draft	diagnostic	diagnostic	Outcome-measured base rates for late picks: backup-skill points over the wire (BenchValue) and drafted defence vs streaming (DefenceVersusDepth); QB stashes hit 41%.	RUNBOOK.md:370 (draft-night 'Rounds 8-16' section: 'LateRoundValue puts late QBs startable the following year 41% of the time'), TRAPS.md:554 (DEF_WORST_BAND), MODEL.md:4940. DraftNight.java:261 only quotes it in a printed string; BenchValue.java:24 is a comment.
